,Symbol,Price,Beta,Volume Avrg.,Market Cap,Shares (2019),Last Div,Dividend Yield,DCF Unlevered,DCF Levered,ROE,ROA,Operating Margin,Debt / Equity,P/E,P/B,Shares (2020),Shares ()
20,LNT,51.86,0.355,1380000.0,12950000000.0,239000000.0,1.42,0.0277,-74.55,-230.73,0.109,0.034,0.2132,2.2085,24.61,2.68,,
21,ALL,93.82,0.734,1990000.0,29300000000.0,333500000.0,1.96,0.0254,321.08,395.87,0.1864,0.0404,0.1536,3.6138,7.99,1.49,,
22,GOOGL,1515.76,1.081,1800000.0,1032940000000.0,698556000.0,0.0,-,664.24,1363.31,0.1705,0.1245,0.2115,0.3697,14.68,2.5,,
23,GOOG,1520.72,1.023,1810000.0,1032280000000.0,352214000.0,0.0,-,5328.75,7250.8,0.1705,0.1245,0.2115,0.3697,14.7,2.51,,
24,MO,43.59,0.503,7440000.0,81010000000.0,1869000000.0,4.08,0.0755,-147.57,-202.63,-0.2078,-0.0262,0.0102,6.9188,-66.08,13.73,,
25,AMZN,3116.22,1.339,4840000.0,1560880000000.0,504000000.0,0.0,-,518.78,755.48,0.1867,0.0514,0.0518,2.6295,79.75,14.89,,
26,AMCR,11.06,0.241,9740000.0,17270000000.0,,0.465,0.0432,161.92,215.09,0.1323,0.0372,0.0797,2.5544,26.82,3.55,1601600000.0,
27,AEE,76.6,0.296,1400000.0,19200000000.0,247100000.0,1.92,0.0251,-281.96,-81.83,0.0529,0.0147,0.2144,2.5901,46.63,2.46,,
28,AAL,12.95,1.693,79570000.0,6520000000.0,444269000.0,0.4,0.0334,-302.37,-222.13,-14.2881,0.0281,0.067,-509.4322,7.26,-103.77,,
29,AEP,79.15,0.32,3140000.0,39640000000.0,495306240.0,2.71,0.0345,-231.65,-159.08,-,-,0.1666,-,-,-,,
30,AXP,103.36,1.121,4270000.0,83220000000.0,830000000.0,1.6,0.0166,120.03,392.81,0.293,0.0341,0.1868,7.5961,16.16,4.73,,
31,AIG,28.4,1.344,6340000.0,24460000000.0,889511950.0,1.28,0.0456,145.58,-22.1,-,-,0.1943,-,-,-,,
32,AMT,249.79,0.359,1610000.0,112640000000.0,445520000.0,3.61,0.0144,705.45,687.44,0.3734,0.0441,0.3517,7.4665,54.65,20.41,,
33,AWK,141.1,0.224,760000.0,25570000000.0,181000000.0,1.955,0.0138,-2448.03,-348.16,0.1015,0.0274,0.323,2.7056,39.39,4.0,,
34,AMP,152.1,1.768,810000.0,18290000000.0,136000000.0,3.81,0.0244,44.28,118.87,0.3304,0.0125,0.1898,25.5017,11.83,3.91,,
35,ABC,94.08,0.539,1000000.0,19210000000.0,211840000.0,1.6,0.017,315.1,699.92,0.2971,0.0218,0.0062,12.6065,20.71,6.15,,
36,AME,99.91,1.295,1130000.0,22940000000.0,229395000.0,0.56,0.0056,48.79,46.61,0.1684,0.0875,0.2282,0.9245,26.15,4.4,,
37,AMGN,243.21,0.836,2600000.0,142450000000.0,609000000.0,5.8,0.0237,229.89,327.41,0.8107,0.1313,0.4141,5.1725,17.09,13.86,,
38,APH,104.29,1.263,1340000.0,31100000000.0,307900000.0,0.96,0.0087,45.31,53.65,0.255,0.1068,0.1951,1.3874,26.09,6.65,,
39,ADI,113.8,1.288,3280000.0,42060000000.0,372871000.0,2.1,0.0185,74.86,83.77,0.1164,0.0637,0.2855,0.827,29.51,3.44,,
40,ANSS,314.08,1.228,420000.0,26940000000.0,85925000.0,0.0,-,92.0,108.39,0.1307,0.0933,0.3398,0.4012,52.3,6.84,,
41,ANTM,258.03,0.919,1170000.0,64900000000.00001,260300000.0,3.2,0.0122,464.13,330.14,0.1515,0.0621,0.0653,1.4412,14.04,2.13,,
